anomaly_type,rows,positive_support,negative_support,prevalence,predicted_positive_rate,true_negative,false_positive,false_negative,true_positive,precision,recall,f1,f2,accuracy,balanced_accuracy,false_positive_rate,false_negative_rate,specificity,brier_score,expected_calibration_error_10_bin,pr_auc,roc_auc
dormant_cluster_reactivation,152,152,0,1.0,0.006578947368421052,0,0,151,1,1.0,0.006578947368421052,0.013071895424836602,0.008210180623973728,0.006578947368421052,0.006578947368421052,,0.993421052631579,,0.8116035571465862,0.9000591992105264,,
dormant_cluster_reactivation+cached_balance_as_current+large_expected_merchant_activity,12,12,0,1.0,1.0,0,0,0,12,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06369407709408752,0.25209724499999997,,
dormant_cluster_reactivation+cached_balance_as_current+salary_day_surge,13,13,0,1.0,1.0,0,0,0,13,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06648485659283712,0.25763046923076915,,
dormant_cluster_reactivation+conflicting_reported_balance+government_payment_day,32,32,0,1.0,1.0,0,0,0,32,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06789098774083062,0.26033932312499997,,
dormant_cluster_reactivation+conflicting_reported_balance+remittance_payment_day,13,13,0,1.0,1.0,0,0,0,13,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.07321361304205386,0.2699821846153847,,
dormant_cluster_reactivation+delayed_ingestion+government_payment_day,16,16,0,1.0,0.0,0,0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.8313794495548482,0.91141817625,,
dormant_cluster_reactivation+delayed_ingestion+legitimate_round_amounts,15,15,0,1.0,0.0,0,0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.8841164277806237,0.9401379293333333,,
dormant_cluster_reactivation+delayed_ingestion+salary_day_surge,17,17,0,1.0,0.0,0,0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.9275208360227123,0.9625368576470588,,
dormant_cluster_reactivation+duplicate_source_events+large_expected_merchant_activity,14,14,0,1.0,1.0,0,0,0,14,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.07085566221707237,0.2660056757142859,,
dormant_cluster_reactivation+duplicate_source_events+remittance_payment_day,16,16,0,1.0,1.0,0,0,0,16,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.0776537879805799,0.27805664625,,
dormant_cluster_reactivation+incorrect_event_timestamp+eid_demand_surge,27,27,0,1.0,0.0,0,0,27,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.8527019643306862,0.9225422762962963,,
dormant_cluster_reactivation+incorrect_event_timestamp+legitimate_network_recovery_burst,16,16,0,1.0,0.0625,0,0,15,1,1.0,0.0625,0.11764705882352941,0.07692307692307693,0.0625,0.0625,,0.9375,,0.7932483419194692,0.88942765,,
dormant_cluster_reactivation+missing_interval+weather_recovery_catchup,15,15,0,1.0,1.0,0,0,0,15,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06703236172198081,0.2583537199999999,,
dormant_cluster_reactivation+out_of_order_ingestion+eid_demand_surge,25,25,0,1.0,1.0,0,0,0,25,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.07754831107773077,0.2781090311999999,,
dormant_cluster_reactivation+out_of_order_ingestion+legitimate_round_amounts,16,16,0,1.0,1.0,0,0,0,16,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.07005320050411507,0.2643697762499999,,
dormant_cluster_reactivation+out_of_order_ingestion+remittance_payment_day,17,17,0,1.0,1.0,0,0,0,17,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.07342806337408399,0.27031814470588234,,
dormant_cluster_reactivation+out_of_order_ingestion+university_admission_period,14,14,0,1.0,1.0,0,0,0,14,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06775723725016733,0.2596300457142856,,
dormant_cluster_reactivation+partial_provider_outage+eid_demand_surge,15,15,0,1.0,1.0,0,0,0,15,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.056945039132447035,0.23818614400000004,,
dormant_cluster_reactivation+partial_provider_outage+legitimate_round_amounts,29,29,0,1.0,1.0,0,0,0,29,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.05137072340398472,0.22642316896551726,,
dormant_cluster_reactivation+replayed_transaction_batch+weather_recovery_catchup,14,14,0,1.0,1.0,0,0,0,14,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06943996997757199,0.2630791764285715,,
dormant_cluster_reactivation+schema_error_simulation+local_market_event,16,16,0,1.0,0.0,0,0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.9396743734397365,0.96928391625,,
dormant_cluster_reactivation+schema_error_simulation+remittance_payment_day,14,14,0,1.0,0.0,0,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.8214567526420763,0.9054449507142859,,
dormant_cluster_reactivation+schema_error_simulation+weather_recovery_catchup,17,17,0,1.0,0.0,0,0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.8212079921742808,0.9059948364705883,,
dormant_cluster_reactivation+stale_provider_feed+eid_demand_surge,17,17,0,1.0,1.0,0,0,0,17,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06571881625166087,0.25536173647058824,,
dormant_cluster_reactivation+stale_provider_feed+government_payment_day,17,17,0,1.0,1.0,0,0,0,17,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.061433151676689814,0.24743715176470582,,
dormant_cluster_reactivation+stale_provider_feed+salary_day_surge,30,30,0,1.0,1.0,0,0,0,30,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06560434323409656,0.2556255239999998,,
dormant_cluster_reactivation+stale_provider_feed+weather_recovery_catchup,14,14,0,1.0,1.0,0,0,0,14,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.06540055265043616,0.25522262571428567,,
duplicate_source_events,258,258,0,1.0,1.0,0,0,0,258,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.07113766829697041,0.2663051425968992,,
eid_demand_surge,576,0,576,0.0,0.020833333333333332,564,12,0,0,0.0,0.0,0.0,0.0,0.9791666666666666,0.9791666666666666,0.020833333333333332,,0.9791666666666666,0.004249571891190775,0.05009466967013889,,
failure_rate_spike,301,301,0,1.0,0.9966777408637874,0,0,1,300,1.0,0.9966777408637874,0.9983361064891847,0.9973404255319149,0.9966777408637874,0.9966777408637874,,0.0033222591362126247,,0.0569406838484127,0.23088403714285718,,
failure_rate_spike+cached_balance_as_current+salary_day_surge,14,14,0,1.0,1.0,0,0,0,14,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.04553898222553225,0.21280236428571436,,
failure_rate_spike+conflicting_reported_balance+government_payment_day,16,16,0,1.0,1.0,0,0,0,16,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.04486313956527855,0.21095491500000002,,
failure_rate_spike+conflicting_reported_balance+large_expected_merchant_activity,17,17,0,1.0,1.0,0,0,0,17,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.041508037612041665,0.20284524352941175,,
